penalty,mixture,.metric,.estimator,mean,n,std_err,.config
1e-4,0,rmse,standard,2.4263890662864203,5,0.00437338378628226,pre0_mod001_post0
1e-4,0,rsq,standard,0.39401219538594917,5,0.003146896955818918,pre0_mod001_post0
1e-4,0.2,rmse,standard,2.424158445584196,5,0.004490059265380715,pre0_mod002_post0
1e-4,0.2,rsq,standard,0.3951474526691783,5,0.00309463985434724,pre0_mod002_post0
1e-4,0.4,rmse,standard,2.4242727604947447,5,0.004548294220548772,pre0_mod003_post0
1e-4,0.4,rsq,standard,0.3950684686262293,5,0.003129081888959746,pre0_mod003_post0
1e-4,0.6000000000000001,rmse,standard,2.424270235126326,5,0.004541679708870977,pre0_mod004_post0
1e-4,0.6000000000000001,rsq,standard,0.3950792972869583,5,0.0031230174973146145,pre0_mod004_post0
1e-4,0.8,rmse,standard,2.4242715770493057,5,0.004558215921775956,pre0_mod005_post0
1e-4,0.8,rsq,standard,0.3950721044709522,5,0.0031307119572726587,pre0_mod005_post0
1e-4,1,rmse,standard,2.4242865375742015,5,0.004564872355417235,pre0_mod006_post0
1e-4,1,rsq,standard,0.39505908678263785,5,0.0031356526027528113,pre0_mod006_post0
1.8329807108324357e-4,0,rmse,standard,2.4263890662864203,5,0.00437338378628226,pre0_mod007_post0
1.8329807108324357e-4,0,rsq,standard,0.39401219538594917,5,0.003146896955818918,pre0_mod007_post0
1.8329807108324357e-4,0.2,rmse,standard,2.424158445584196,5,0.004490059265380715,pre0_mod008_post0
1.8329807108324357e-4,0.2,rsq,standard,0.3951474526691783,5,0.00309463985434724,pre0_mod008_post0
1.8329807108324357e-4,0.4,rmse,standard,2.4242727604947447,5,0.004548294220548772,pre0_mod009_post0
1.8329807108324357e-4,0.4,rsq,standard,0.3950684686262293,5,0.003129081888959746,pre0_mod009_post0
1.8329807108324357e-4,0.6000000000000001,rmse,standard,2.424270235126326,5,0.004541679708870977,pre0_mod010_post0
1.8329807108324357e-4,0.6000000000000001,rsq,standard,0.3950792972869583,5,0.0031230174973146145,pre0_mod010_post0
1.8329807108324357e-4,0.8,rmse,standard,2.4242715770493057,5,0.004558215921775956,pre0_mod011_post0
1.8329807108324357e-4,0.8,rsq,standard,0.3950721044709522,5,0.0031307119572726587,pre0_mod011_post0
1.8329807108324357e-4,1,rmse,standard,2.4242865375742015,5,0.004564872355417235,pre0_mod012_post0
1.8329807108324357e-4,1,rsq,standard,0.39505908678263785,5,0.0031356526027528113,pre0_mod012_post0
3.359818286283781e-4,0,rmse,standard,2.4263890662864203,5,0.00437338378628226,pre0_mod013_post0
3.359818286283781e-4,0,rsq,standard,0.39401219538594917,5,0.003146896955818918,pre0_mod013_post0
3.359818286283781e-4,0.2,rmse,standard,2.424158445584196,5,0.004490059265380715,pre0_mod014_post0
3.359818286283781e-4,0.2,rsq,standard,0.3951474526691783,5,0.00309463985434724,pre0_mod014_post0
3.359818286283781e-4,0.4,rmse,standard,2.4242727604947447,5,0.004548294220548772,pre0_mod015_post0
3.359818286283781e-4,0.4,rsq,standard,0.3950684686262293,5,0.003129081888959746,pre0_mod015_post0
3.359818286283781e-4,0.6000000000000001,rmse,standard,2.424270235126326,5,0.004541679708870977,pre0_mod016_post0
3.359818286283781e-4,0.6000000000000001,rsq,standard,0.3950792972869583,5,0.0031230174973146145,pre0_mod016_post0
3.359818286283781e-4,0.8,rmse,standard,2.4242715770493057,5,0.004558215921775956,pre0_mod017_post0
3.359818286283781e-4,0.8,rsq,standard,0.3950721044709522,5,0.0031307119572726587,pre0_mod017_post0
3.359818286283781e-4,1,rmse,standard,2.4242865375742015,5,0.004564872355417235,pre0_mod018_post0
3.359818286283781e-4,1,rsq,standard,0.39505908678263785,5,0.0031356526027528113,pre0_mod018_post0
6.158482110660267e-4,0,rmse,standard,2.4263890662864203,5,0.00437338378628226,pre0_mod019_post0
6.158482110660267e-4,0,rsq,standard,0.39401219538594917,5,0.003146896955818918,pre0_mod019_post0
6.158482110660267e-4,0.2,rmse,standard,2.424158445584196,5,0.004490059265380715,pre0_mod020_post0
6.158482110660267e-4,0.2,rsq,standard,0.3951474526691783,5,0.00309463985434724,pre0_mod020_post0
6.158482110660267e-4,0.4,rmse,standard,2.4242727604947447,5,0.004548294220548772,pre0_mod021_post0
6.158482110660267e-4,0.4,rsq,standard,0.3950684686262293,5,0.003129081888959746,pre0_mod021_post0
6.158482110660267e-4,0.6000000000000001,rmse,standard,2.424270235126326,5,0.004541679708870977,pre0_mod022_post0
6.158482110660267e-4,0.6000000000000001,rsq,standard,0.3950792972869583,5,0.0031230174973146145,pre0_mod022_post0
6.158482110660267e-4,0.8,rmse,standard,2.4242715770493057,5,0.004558215921775956,pre0_mod023_post0
6.158482110660267e-4,0.8,rsq,standard,0.3950721044709522,5,0.0031307119572726587,pre0_mod023_post0
6.158482110660267e-4,1,rmse,standard,2.4242865375742015,5,0.004564872355417235,pre0_mod024_post0
6.158482110660267e-4,1,rsq,standard,0.39505908678263785,5,0.0031356526027528113,pre0_mod024_post0
0.0011288378916846883,0,rmse,standard,2.4263890662864203,5,0.00437338378628226,pre0_mod025_post0
0.0011288378916846883,0,rsq,standard,0.39401219538594917,5,0.003146896955818918,pre0_mod025_post0
0.0011288378916846883,0.2,rmse,standard,2.424158445584196,5,0.004490059265380715,pre0_mod026_post0
0.0011288378916846883,0.2,rsq,standard,0.3951474526691783,5,0.00309463985434724,pre0_mod026_post0
0.0011288378916846883,0.4,rmse,standard,2.4242727604947447,5,0.004548294220548772,pre0_mod027_post0
0.0011288378916846883,0.4,rsq,standard,0.3950684686262293,5,0.003129081888959746,pre0_mod027_post0
0.0011288378916846883,0.6000000000000001,rmse,standard,2.424270235126326,5,0.004541679708870977,pre0_mod028_post0
0.0011288378916846883,0.6000000000000001,rsq,standard,0.3950792972869583,5,0.0031230174973146145,pre0_mod028_post0
0.0011288378916846883,0.8,rmse,standard,2.4242715770493057,5,0.004558215921775956,pre0_mod029_post0
0.0011288378916846883,0.8,rsq,standard,0.3950721044709522,5,0.0031307119572726587,pre0_mod029_post0
0.0011288378916846883,1,rmse,standard,2.4242865375742015,5,0.004564872355417235,pre0_mod030_post0
0.0011288378916846883,1,rsq,standard,0.39505908678263785,5,0.0031356526027528113,pre0_mod030_post0
0.00206913808111479,0,rmse,standard,2.4263890662864203,5,0.00437338378628226,pre0_mod031_post0
0.00206913808111479,0,rsq,standard,0.39401219538594917,5,0.003146896955818918,pre0_mod031_post0
0.00206913808111479,0.2,rmse,standard,2.424158445584196,5,0.004490059265380715,pre0_mod032_post0
0.00206913808111479,0.2,rsq,standard,0.3951474526691783,5,0.00309463985434724,pre0_mod032_post0
0.00206913808111479,0.4,rmse,standard,2.4242727604947447,5,0.004548294220548772,pre0_mod033_post0
0.00206913808111479,0.4,rsq,standard,0.3950684686262293,5,0.003129081888959746,pre0_mod033_post0
0.00206913808111479,0.6000000000000001,rmse,standard,2.424270235126326,5,0.004541679708870977,pre0_mod034_post0
0.00206913808111479,0.6000000000000001,rsq,standard,0.3950792972869583,5,0.0031230174973146145,pre0_mod034_post0
0.00206913808111479,0.8,rmse,standard,2.4242693993471778,5,0.004558556576193538,pre0_mod035_post0
0.00206913808111479,0.8,rsq,standard,0.3950712344047515,5,0.0031312079174218377,pre0_mod035_post0
0.00206913808111479,1,rmse,standard,2.4242865375742015,5,0.004564872355417235,pre0_mod036_post0
0.00206913808111479,1,rsq,standard,0.39505908678263785,5,0.0031356526027528113,pre0_mod036_post0
0.00379269019073225,0,rmse,standard,2.4263890662864203,5,0.00437338378628226,pre0_mod037_post0
0.00379269019073225,0,rsq,standard,0.39401219538594917,5,0.003146896955818918,pre0_mod037_post0
0.00379269019073225,0.2,rmse,standard,2.424173248343927,5,0.004508345850267258,pre0_mod038_post0
0.00379269019073225,0.2,rsq,standard,0.39512970165372424,5,0.003105216797874178,pre0_mod038_post0
0.00379269019073225,0.4,rmse,standard,2.424266753354204,5,0.004550952631736806,pre0_mod039_post0
0.00379269019073225,0.4,rsq,standard,0.39506723422387263,5,0.0031305114580613,pre0_mod039_post0
0.00379269019073225,0.6000000000000001,rmse,standard,2.424259612503225,5,0.004557418351633189,pre0_mod040_post0
0.00379269019073225,0.6000000000000001,rsq,standard,0.39506581711961797,5,0.003133015914282837,pre0_mod040_post0
0.00379269019073225,0.8,rmse,standard,2.4242815220082647,5,0.004575638395132377,pre0_mod041_post0
0.00379269019073225,0.8,rsq,standard,0.39504492271699787,5,0.0031430144776518182,pre0_mod041_post0
0.00379269019073225,1,rmse,standard,2.424316688252736,5,0.004589117384549688,pre0_mod042_post0
0.00379269019073225,1,rsq,standard,0.39501782693282667,5,0.003151442544073077,pre0_mod042_post0
0.0069519279617756054,0,rmse,standard,2.4263890662864203,5,0.00437338378628226,pre0_mod043_post0
0.0069519279617756054,0,rsq,standard,0.39401219538594917,5,0.003146896955818918,pre0_mod043_post0
0.0069519279617756054,0.2,rmse,standard,2.4242477151954347,5,0.0045518829374622365,pre0_mod044_post0
0.0069519279617756054,0.2,rsq,standard,0.39506794620791036,5,0.0031308386604938484,pre0_mod044_post0
0.0069519279617756054,0.4,rmse,standard,2.424264270996543,5,0.004569038182900255,pre0_mod045_post0
0.0069519279617756054,0.4,rsq,standard,0.39504143225585,5,0.003142586526921938,pre0_mod045_post0
0.0069519279617756054,0.6000000000000001,rmse,standard,2.42432205465197,5,0.004588485708351801,pre0_mod046_post0
0.0069519279617756054,0.6000000000000001,rsq,standard,0.3949983312016516,5,0.003154116285129772,pre0_mod046_post0
0.0069519279617756054,0.8,rmse,standard,2.4244253160904936,5,0.004618328182872748,pre0_mod047_post0
0.0069519279617756054,0.8,rsq,standard,0.39493227863119507,5,0.0031710364128175487,pre0_mod047_post0
0.0069519279617756054,1,rmse,standard,2.424577449837389,5,0.004645406230692458,pre0_mod048_post0
0.0069519279617756054,1,rsq,standard,0.39484295706180345,5,0.0031874348562624557,pre0_mod048_post0
0.012742749857031334,0,rmse,standard,2.4263890662864203,5,0.00437338378628226,pre0_mod049_post0
0.012742749857031334,0,rsq,standard,0.39401219538594917,5,0.003146896955818918,pre0_mod049_post0
0.012742749857031334,0.2,rmse,standard,2.4242816630364703,5,0.004569908267084735,pre0_mod050_post0
0.012742749857031334,0.2,rsq,standard,0.39501014042189586,5,0.003146627332786819,pre0_mod050_post0
0.012742749857031334,0.4,rmse,standard,2.424417421798016,5,0.004605472590500003,pre0_mod051_post0
0.012742749857031334,0.4,rsq,standard,0.39491851949009305,5,0.0031688381994648294,pre0_mod051_post0
0.012742749857031334,0.6000000000000001,rmse,standard,2.4247087459664947,5,0.00465088134032373,pre0_mod052_post0
0.012742749857031334,0.6000000000000001,rsq,standard,0.39475387750377555,5,0.0031957298036316703,pre0_mod052_post0
0.012742749857031334,0.8,rmse,standard,2.425161660710931,5,0.004697823061371506,pre0_mod053_post0
0.012742749857031334,0.8,rsq,standard,0.3945105524800684,5,0.0032226668230967955,pre0_mod053_post0
0.012742749857031334,1,rmse,standard,2.4258461794629733,5,0.004752431942355871,pre0_mod054_post0
0.012742749857031334,1,rsq,standard,0.39415465674881595,5,0.003254573835830407,pre0_mod054_post0
0.023357214690901212,0,rmse,standard,2.4263890662864203,5,0.00437338378628226,pre0_mod055_post0
0.023357214690901212,0,rsq,standard,0.39401219538594917,5,0.003146896955818918,pre0_mod055_post0
0.023357214690901212,0.2,rmse,standard,2.4244686603266934,5,0.004604366235378958,pre0_mod056_post0
0.023357214690901212,0.2,rsq,standard,0.39486292230714154,5,0.003175109828983646,pre0_mod056_post0
0.023357214690901212,0.4,rmse,standard,2.425129007940667,5,0.004675374976184456,pre0_mod057_post0
0.023357214690901212,0.4,rsq,standard,0.3945065217826503,5,0.0032182670547273987,pre0_mod057_post0
0.023357214690901212,0.6000000000000001,rmse,standard,2.4263971273599716,5,0.004773040890348258,pre0_mod058_post0
0.023357214690901212,0.6000000000000001,rsq,standard,0.3938565901793532,5,0.0032731706951971613,pre0_mod058_post0
0.023357214690901212,0.8,rmse,standard,2.427956930881284,5,0.004863573226140805,pre0_mod059_post0
0.023357214690901212,0.8,rsq,standard,0.3930667082816565,5,0.003323366385202802,pre0_mod059_post0
0.023357214690901212,1,rmse,standard,2.4297894782993534,5,0.004962266602421041,pre0_mod060_post0
0.023357214690901212,1,rsq,standard,0.3921442553588074,5,0.003381076791863482,pre0_mod060_post0
0.04281332398719392,0,rmse,standard,2.4263890662864203,5,0.00437338378628226,pre0_mod061_post0
0.04281332398719392,0,rsq,standard,0.39401219538594917,5,0.003146896955818918,pre0_mod061_post0
0.04281332398719392,0.2,rmse,standard,2.425320883591417,5,0.0046569651267331,pre0_mod062_post0
0.04281332398719392,0.2,rsq,standard,0.39438351997113497,5,0.0032215638335766814,pre0_mod062_post0
0.04281332398719392,0.4,rmse,standard,2.4277318103113337,5,0.00480864619056124,pre0_mod063_post0
0.04281332398719392,0.4,rsq,standard,0.39316964281449734,5,0.003308592569951769,pre0_mod063_post0
0.04281332398719392,0.6000000000000001,rmse,standard,2.4303571302219495,5,0.0049519004149733556,pre0_mod064_post0
0.04281332398719392,0.6000000000000001,rsq,standard,0.39185946737695815,5,0.0033943517818152903,pre0_mod064_post0
0.04281332398719392,0.8,rmse,standard,2.4321201925456704,5,0.005054077775640782,pre0_mod065_post0
0.04281332398719392,0.8,rsq,standard,0.3909907130158857,5,0.0034631510309120553,pre0_mod065_post0
0.04281332398719392,1,rmse,standard,2.43451183740752,5,0.005160035352425752,pre0_mod066_post0
0.04281332398719392,1,rsq,standard,0.3898118506511822,5,0.003533048754873905,pre0_mod066_post0
0.07847599703514607,0,rmse,standard,2.4263890662864203,5,0.00437338378628226,pre0_mod067_post0
0.07847599703514607,0,rsq,standard,0.39401219538594917,5,0.003146896955818918,pre0_mod067_post0
0.07847599703514607,0.2,rmse,standard,2.4279021342334626,5,0.00472634587632496,pre0_mod068_post0
0.07847599703514607,0.2,rsq,standard,0.39310654738557643,5,0.0032887754507708376,pre0_mod068_post0
0.07847599703514607,0.4,rmse,standard,2.431990945950932,5,0.004940736402338754,pre0_mod069_post0
0.07847599703514607,0.4,rsq,standard,0.391116496103746,5,0.0034251855484217653,pre0_mod069_post0
0.07847599703514607,0.6000000000000001,rmse,standard,2.436270716059956,5,0.00509553712396669,pre0_mod070_post0
0.07847599703514607,0.6000000000000001,rsq,standard,0.38904410407770834,5,0.0035314868917981084,pre0_mod070_post0
0.07847599703514607,0.8,rmse,standard,2.4389556140903847,5,0.005151716888818318,pre0_mod071_post0
0.07847599703514607,0.8,rsq,standard,0.38780526521707487,5,0.0035881326357762346,pre0_mod071_post0
0.07847599703514607,1,rmse,standard,2.43992474448352,5,0.005180006712283325,pre0_mod072_post0
0.07847599703514607,1,rsq,standard,0.38748173569134287,5,0.0036257218021335954,pre0_mod072_post0
0.14384498882876628,0,rmse,standard,2.4263890662864203,5,0.00437338378628226,pre0_mod073_post0
0.14384498882876628,0,rsq,standard,0.39401219538594917,5,0.003146896955818918,pre0_mod073_post0
0.14384498882876628,0.2,rmse,standard,2.4327286333635265,5,0.0047715629137451586,pre0_mod074_post0
0.14384498882876628,0.2,rsq,standard,0.390979651877262,5,0.0033766957406824584,pre0_mod074_post0
0.14384498882876628,0.4,rmse,standard,2.4391812239824398,5,0.004988230900039342,pre0_mod075_post0
0.14384498882876628,0.4,rsq,standard,0.38802648079877256,5,0.0035360781844584206,pre0_mod075_post0
0.14384498882876628,0.6000000000000001,rmse,standard,2.4410798076506484,5,0.005035551743161789,pre0_mod076_post0
0.14384498882876628,0.6000000000000001,rsq,standard,0.3875487795358672,5,0.0036056644072292496,pre0_mod076_post0
0.14384498882876628,0.8,rmse,standard,2.442973954285719,5,0.0050365395418527775,pre0_mod077_post0
0.14384498882876628,0.8,rsq,standard,0.3872134699102019,5,0.00365361722605371,pre0_mod077_post0
0.14384498882876628,1,rmse,standard,2.4454651115245336,5,0.005037396023367416,pre0_mod078_post0
0.14384498882876628,1,rsq,standard,0.386696902773094,5,0.003704277447144353,pre0_mod078_post0
0.26366508987303583,0,rmse,standard,2.4291466775760915,5,0.0042438503237329965,pre0_mod079_post0
0.26366508987303583,0,rsq,standard,0.39312145554785755,5,0.0031342322333402324,pre0_mod079_post0
0.26366508987303583,0.2,rmse,standard,2.4408782253634653,5,0.004695787354708259,pre0_mod080_post0
0.26366508987303583,0.2,rsq,standard,0.38813306198578196,5,0.003446246457908988,pre0_mod080_post0
0.26366508987303583,0.4,rmse,standard,2.444974357526213,5,0.004782691052596635,pre0_mod081_post0
0.26366508987303583,0.4,rsq,standard,0.38758122660222594,5,0.003577421706312329,pre0_mod081_post0
0.26366508987303583,0.6000000000000001,rmse,standard,2.450113653307233,5,0.004764548944645447,pre0_mod082_post0
0.26366508987303583,0.6000000000000001,rsq,standard,0.3869381757691611,5,0.0036650703078894183,pre0_mod082_post0
